,vehicle_id,data_installment,listing_price,data_make,data_model,data_year,data_mileage,data_transmission,doors,seat_capacity,assembled,engine_cc,peak_power,peak_torque,engine_type,fuel_type
3177,11178330,2850,219800,36,35,2023,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3178,11177979,2850,219800,36,35,2023,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3179,11177701,2850,219800,36,35,2023,0,0,4.0,5.0,1,2487.0,209.0,253.0,1,3
3180,11167102,1891,145888,36,40,2023,0,0,4.0,5.0,1,1798.0,140.0,172.0,1,3
3182,11162116,1841,142000,36,41,2023,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
3183,11166605,2188,168800,16,16,2022,0,0,4.0,5.0,0,1498.0,201.0,260.0,1,3
3184,11162265,1841,142000,36,41,2023,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
3185,11162287,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3186,11162232,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3187,11162371,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3188,11162328,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3189,11162361,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3190,11162254,1841,142000,36,41,2023,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
3191,11162343,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3192,11162182,1841,142000,36,41,2023,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
3193,11162388,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3194,11162319,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3195,11162310,1781,137400,36,41,2023,0,0,5.0,5.0,0,1798.0,140.0,172.0,1,3
3196,11162202,1841,142000,36,41,2023,0,0,5.0,5.0,0,1798.0,98.0,142.0,1,2
